category,goal,pledged,funded,blurb_adj,blurb_noun,blurb_verb,blurb_total,full_adj,full_noun,full_verb,full_total,train
Music,1400,835,FALSE,0.083333333,0.166666667,0.25,12,0.06185567,0.113402062,0.18556701,194,0
Publishing,11000,11622,TRUE,0.130434783,0.086956522,0.173913043,23,0.061926606,0.139908257,0.175458716,872,1
Fashion,1500,1551,TRUE,0,0.125,0.25,16,0.061797753,0.127340824,0.177902622,534,0
Food,1000,0,FALSE,0,0.266666667,0.133333333,15,0.036809816,0.147239264,0.263803681,163,0
Art,1250,130,FALSE,0.181818182,0.090909091,0.045454545,22,0.106557377,0.229508197,0.155737705,122,1
Theater,10000,0,FALSE,0,0.2,0.1,10,0.064327485,0.222222222,0.16374269,171,0
Design,79999,1476,FALSE,0.181818182,0.181818182,0.181818182,22,0.126086957,0.191304348,0.160869565,230,1
Technology,500,0,FALSE,0,0.142857143,0.095238095,21,0.057017544,0.144736842,0.197368421,228,0
Music,3000,2227,FALSE,0.1,0.15,0.05,20,0.08173913,0.166956522,0.16,575,0
Food,2000,11343,TRUE,0.08,0.16,0.04,25,0.063366337,0.159075908,0.16369637,1515,0
Crafts,500,134,FALSE,0.2,0.4,0.1,10,0.093577982,0.174311927,0.176146789,545,1
Crafts,40000,0,FALSE,0,0.307692308,0.153846154,26,0.086538462,0.163461538,0.192307692,208,1
Design,45237,232,FALSE,0,0.238095238,0.095238095,21,0.083478261,0.163478261,0.186086957,575,0
Comics,500,137,FALSE,0.2,0.2,0.1,10,0.055555556,0.138888889,0.12962963,108,0
Art,1500,2715,TRUE,0.1,0.05,0.1,20,0.087163233,0.141045959,0.118858954,631,0
Music,6500,2860,FALSE,0.066666667,0.133333333,0.2,15,0.076190476,0.193650794,0.174603175,315,0
Games,150000,1109351.87,TRUE,0.105263158,0.052631579,0.157894737,19,0.086741016,0.21685254,0.169144981,1614,0
Crafts,35000,0,FALSE,0,0.5,0.1875,16,0.1,0.213888889,0.169444444,360,0
Photography,12000,9146,FALSE,0.111111111,0.277777778,0.111111111,18,0.091954023,0.186462324,0.127713921,783,0
Publishing,7000,7034,TRUE,0.157894737,0.157894737,0.105263158,19,0.088923557,0.152886115,0.134165367,641,1
Food,15000,688,FALSE,0.1875,0.0625,0.0625,16,0.100412655,0.195323246,0.16781293,727,1
Art,4373,5125,TRUE,0,0.142857143,0.333333333,21,0.071332436,0.166890983,0.168236878,743,0
Food,3000,600,FALSE,0.105263158,0.263157895,0.210526316,19,0.082018927,0.135646688,0.164037855,317,0
Fashion,2500,0,FALSE,0,0.333333333,0.142857143,21,0.036809816,0.208588957,0.196319018,163,0
Technology,1500,0,FALSE,0.1875,0.0625,0.1875,16,0.055363322,0.148788927,0.169550173,289,0
Film & Video,2000,2027,TRUE,0.130434783,0.173913043,0.217391304,23,0.086538462,0.153846154,0.163461538,104,1
Film & Video,4000,225,FALSE,0.133333333,0.333333333,0.066666667,15,0.041666667,0.145833333,0.129166667,240,0
Music,5000,125,FALSE,0.071428571,0.285714286,0.285714286,14,0.078947368,0.138157895,0.184210526,152,0
Dance,4000,4070,TRUE,0.052631579,0.105263158,0.105263158,19,0.076335878,0.152671756,0.114503817,131,1
Food,17000,5175,FALSE,0.08,0.16,0.12,25,0.0625,0.154166667,0.175,240,1
Crafts,5000,0,FALSE,0.045454545,0.136363636,0.227272727,22,0.120805369,0.120805369,0.214765101,149,1
Fashion,15000,7422,FALSE,0.090909091,0.227272727,0.090909091,22,0.093663912,0.225895317,0.166666667,726,0
Art,2000,25,FALSE,0.111111111,0.166666667,0.333333333,18,0.052631579,0.221052632,0.221052632,95,0
Music,1900,2112.77,TRUE,0,0.083333333,0.166666667,12,0.082390953,0.119547658,0.179321486,619,0
Games,5000,1957,FALSE,0.2,0.4,0,15,0.095092025,0.142944785,0.173006135,1630,0
Art,1500,0,FALSE,0.04,0.16,0.2,25,0.117647059,0.176470588,0.264705882,34,0
Technology,8000,115067.72,TRUE,0.15,0,0.2,20,0.049682875,0.158562368,0.189217759,946,0
Games,20000,0,FALSE,0.086956522,0.347826087,0.086956522,23,0.116564417,0.18404908,0.153374233,163,1
Technology,60000,8,FALSE,0,0.157894737,0.157894737,19,0.082352941,0.166666667,0.152941176,510,0
Publishing,25000,0,FALSE,0.045454545,0.272727273,0.090909091,22,0.060893099,0.151556157,0.177266576,739,1
Music,3000,3659,TRUE,0.181818182,0.272727273,0.181818182,11,0.081896552,0.163793103,0.159482759,464,1
Fashion,5000,5233,TRUE,0,0.130434783,0.130434783,23,0.076358297,0.195301028,0.160058737,681,0
Publishing,10000,0,FALSE,0.071428571,0.214285714,0.071428571,14,0.075757576,0.121212121,0.171717172,198,1
Games,46000,400,FALSE,0.15,0.3,0.05,20,0.084075173,0.195845697,0.15727003,1011,1
Publishing,40000,0,FALSE,0.136363636,0.181818182,0.181818182,22,0.056338028,0.161971831,0.26056338,142,0
Design,5500,793,FALSE,0.210526316,0.315789474,0.052631579,19,0.072640869,0.154107264,0.159538357,1473,1
Games,8000,705,FALSE,0.043478261,0.173913043,0.130434783,23,0.088050314,0.150943396,0.150943396,159,1
Comics,2000,860,FALSE,0.105263158,0.263157895,0.052631579,19,0.067708333,0.1640625,0.177083333,384,0
